price,model,title
"39,990.00",LSA5AU4F,"LG LSA5AU4F Split AC (1.5 Ton, 4 Star Rating, White, Copper)"
"29,490.00",LWA3GP3F,"LG LWA3GP3F Window AC (1 Ton, 3 Star Rating, White, Copper)"
NA,KC-18QKY,"Panasonic KC-18QKY Split AC (1.5 Ton, 5 Star Rating, White, Copper)"
NA,CW-KC1814YA,"Panasonic CW-KC1814YA Window AC (1.5 Ton, 5 Star Rating, White, Copper)"
NA,CW-YC1814YA,"Panasonic CW-YC1814YA Window AC (1.5 Ton, 3 Star Rating, White, Copper)"
NA,LS19A3PN,"Lloyd Curvella LS19A3PN Split AC (1.5 Ton, 3 Star Rating, White)"
NA,ASGA30JCC,"O General ASGA30JCC-2.5 Inverter Wall Mounted Split AC (2.5 Ton, White, Copper)"
"20,990.00",LW12A2N,"Lloyd LW12A2N Window AC (1 Ton, 1 Star Rating, Cream)"
NA,LS13A5SN,"Lloyd Sleekstar LS13A5SN Split AC (1 Ton, 5 Star Rating, White)"
"27,500.00",LS19A2P,"Lloyd Grandeura LS19A2P Split AC (1.5 Ton, 2 Star Rating, White)"
"41,900.00",LS24A3LN,"Lloyd Grandeura LS24A3LN Split AC (2 Ton, 3 Star Rating, White)"
"55,100.00",FTXS35EVMA,"Daikin FTXS35EVMA Split AC (1 Ton, White)"
"30,844.00",182 EYe,Voltas 182 EYE 1.5 Ton 2 Star Split AC Copper (White)
